常用国家/地区

中国,China,86
美国,United States,1
日本,Japan,81
中国香港,Hong Kong,852
加拿大,Canada,1
英国,United Kingdom,44
中国台湾,Taiwan,886
澳大利亚,Australia,61
新加坡,Singapore,65
德国,Germany,49
韩国,Korea,82
中国澳门,Macao,853

全部国家/地区

中国,China,86
加拿大,Canada,1
美国,United States,1
哈萨克,Kazakhstan,7
俄罗斯,Russian Federation,7
埃及,Egypt,20
南非,South Africa,27
希腊,Greece,30
荷兰,Netherlands,31
比利时,Belgium,32
法国,France,33
西班牙,Spain,34
匈牙利,Hungary,36
意大利,Italy,39
罗马尼亚,Romania,40
瑞士,Switzerland,41
奥地利,Austria,43
英国,United Kingdom,44
丹麦,Denmark,45
瑞典,Sweden,46
挪威,Norway,47
波兰,Poland,48
德国,Germany,49
秘鲁,Peru,51
墨西哥,Mexico,52
古巴,Cuba,53
阿根廷,Argentina,54
巴西,Brazil,55
智利,Chile,56
哥伦比亚,Colombia,57
委内瑞拉,Venezuela,58
马来西亚,Malaysia,60
澳大利亚,Australia,61
印度尼西亚,Indonesia,62
菲律宾,Philippines,63
新西兰,New Zealand,64
新加坡,Singapore,65
泰国,Thailand,66
日本,Japan,81
韩国,Korea,82
越南,Vietnam,84
土耳其,Turkey,90
印度,India,91
巴基斯坦,Pakistan,92
阿富汗,Afghanistan,93
斯里兰卡,Sri Lanka,94
缅甸,Myanmar,95
伊朗,Iran,98
南苏丹,South Sudan,211
摩洛哥,Morocco,212
阿尔及利亚,Algeria,213
突尼斯,Tunisia,216
利比亚,Libya,218
冈比亚,Gambia,220
塞内加尔,Senegal,221
毛里塔尼亚,Mauritania,222
马里共和国,Mali,223
几内亚,Guinea,224
科特迪瓦,Côte d'Ivoire,225
布基纳法索,Burkina Faso,226
尼日,Niger,227
多哥,Togo,228
贝宁,Benin,229
毛里求斯,Mauritius,230
利比里亚,Liberia,231
狮子山共和国,Sierra Leone,232
加纳,Ghana,233
尼日利亚,Nigeria,234
查德,Chad,235
中非共和国,Central African Republic,236
喀麦隆,Cameroon,237
佛得角,Cape Verde,238
圣多美普林西比,Sao Tome and Principe,239
赤道几内亚,Equatorial Guinea,240
加蓬,Gabon,241
刚果共和国,Congo,242
刚果民主共和国,Congo,243
安哥拉,Angola,244
几内亚比绍,Guinea ,245
阿森松岛,Ascension island,247
塞舌尔,Seychelles,248
苏丹,Sudan,249
卢旺达,Rwanda,250
埃塞俄比亚,Ethiopia,251
索马里,Somalia,252
吉布提,Djibouti,253
肯尼亚,Kenya,254
坦桑尼亚,Tanzania,255
乌干达,Uganda,256
布隆迪,Burundi,257
莫桑比克,Mozambique,258
赞比亚,Zambia,260
马达加斯加,Madagascar,261
留尼汪,Réunion,262
津巴布韦,Republic of Zimbabwe,263
纳米比亚,Namibia,264
马拉维,Malawi,265
莱索托,Lesotho,266
博茨瓦纳,Botswana,267
斯威士兰,Swaziland,268
科摩罗,Comoros,269
马约特,Mayotte,269
阿鲁巴,Aruba,297
法罗群岛,Faroe Islands,298
格陵兰,Greenland,299
直布罗陀,Gibraltar,350
葡萄牙,Portugal,351
卢森堡,Luxembourg,352
卢森堡,Macedonia,352
爱尔兰共和国,Ireland,353
冰岛,Iceland,354
阿尔巴尼亚,Albania,355
马耳他,Malta,356
塞浦路斯,Cyprus,357
芬兰,Finland,358
保加利亚,Bulgaria,359
立陶宛,Lithuania,370
拉脱维亚,Latvia,371
爱沙尼亚,Estonia,372
摩尔多瓦,Moldova,373
亚美尼亚,Armenia,374
白俄罗斯,Belarus,375
安道尔,Andorra,376
摩纳哥,Monaco,377
圣马力诺,San Marino,378
乌克兰,Ukraine,380
塞尔维亚共和国,Serbia,381
黑山共和国,Montenegro,382
克罗地亚,Croatia,385
斯洛文尼亚,Slovenia,386
波斯尼亚与赫塞哥维纳,Bosnia and Herzegovina,387
捷克,Czech Republic,420
斯洛伐克,Slovakia,421
列支敦士登,Liechtenstein,423
伯利兹,Belize,501
危地马拉,Guatemala,502
萨尔瓦多,El Salvador,503
洪都拉斯,Honduras,504
尼加拉瓜,Nicaragua,505
哥斯达黎加,Costa Rica,506
巴拿马,Panama,507
圣皮耶与密克隆群岛,Saint Pierre and Miquelon,508
海地,Haiti,509
